roughness,brightness,thickness,curling,dirt,clip,wave,quality
310,95,1,6,2,3,2,A
263,96,2,77,0,2,3,A
251,88,2,16,0,1,3,A
298,85,2,80,2,2,2,A
261,90,1,40,2,1,3,A
297,89,2,42,1,1,1,A
288,87,2,56,2,3,3,A
255,90,2,96,2,2,3,A
308,94,2,15,0,1,2,A
291,87,1,10,1,2,1,A
251,93,2,20,2,2,3,A
281,97,1,15,1,2,3,A
295,90,2,63,1,1,2,A
289,96,2,1,2,3,1,A
283,94,2,63,2,2,1,A
270,89,2,31,2,1,3,A
294,92,1,3,1,3,3,A
292,89,1,66,2,3,1,A
259,100,1,49,2,2,1,A
287,100,2,65,2,1,3,A
309,98,2,2,2,2,2,A
290,96,1,68,0,2,3,A
252,88,1,13,0,2,3,A
287,95,1,97,2,3,3,A
298,88,2,52,1,3,3,A
301,93,1,48,2,3,3,A
310,92,1,32,1,3,3,A
274,91,1,72,0,2,1,A
250,97,2,51,1,3,2,A
289,96,2,65,0,1,3,A
308,89,1,63,1,2,2,A
258,88,2,50,1,3,3,A
260,90,2,25,2,2,3,A
260,86,1,77,0,1,3,A
289,88,1,49,0,1,3,A
262,96,2,2,1,1,3,A
274,86,1,26,0,3,3,A
290,96,1,79,0,1,2,A
308,100,2,57,1,2,3,A
251,96,1,20,1,1,3,A
278,95,1,90,2,3,1,A
304,92,2,61,1,1,3,A
307,92,1,99,1,3,3,A
307,89,2,12,2,1,1,A
288,100,2,67,2,3,1,A
273,94,1,91,2,1,2,A
298,86,1,88,1,1,3,A
294,91,1,3,1,3,2,A
273,99,2,38,0,3,3,A
251,99,1,49,1,3,3,A
300,96,2,92,2,3,1,A
305,100,2,33,0,1,3,A
255,97,2,42,2,3,1,A
258,91,2,77,2,2,3,A
299,85,1,92,0,1,1,A
295,87,1,85,2,1,2,A
272,95,1,70,0,2,3,A
256,92,2,10,1,3,1,A
290,87,1,11,2,3,3,A
296,95,1,25,2,3,1,A
262,91,1,53,0,3,2,A
259,97,1,38,0,2,3,A
255,100,1,66,2,3,1,A
265,97,2,27,2,3,1,A
250,97,1,26,2,3,3,A
302,97,1,80,2,2,2,A
259,95,1,23,1,3,1,A
288,93,1,87,2,3,1,A
270,97,2,23,2,1,2,A
271,87,2,27,1,2,1,A
293,96,1,48,0,3,1,A
293,87,1,34,0,3,1,A
289,100,2,67,0,2,2,A
280,85,1,91,1,1,1,A
280,89,2,26,2,3,3,A
285,100,2,77,1,2,1,A
294,88,1,32,1,1,1,A
287,92,1,90,0,3,1,A
250,100,2,8,1,1,2,A
295,94,1,3,0,3,1,A
286,91,2,77,0,3,1,A
277,89,1,33,1,3,2,A
256,89,1,37,0,3,2,A
278,96,1,79,2,3,1,A
304,90,2,25,0,2,2,A
297,86,2,17,2,1,2,A
285,94,1,80,0,2,1,A
272,85,2,46,1,1,2,A
268,98,2,46,1,3,2,A
257,91,2,63,1,2,3,A
299,98,1,60,2,3,3,A
252,86,2,15,2,1,2,A
306,90,1,43,1,2,1,A
309,93,2,17,0,1,3,A
254,89,2,95,2,3,1,A
304,87,2,46,0,1,1,A
300,88,1,47,2,3,3,A
310,92,2,81,1,3,3,A
269,96,1,38,1,1,3,A
273,100,1,10,1,2,2,A
301,86,1,58,2,3,1,A
274,85,1,62,1,3,3,A
262,88,1,42,1,3,3,A
288,92,2,43,0,2,1,A
259,90,2,84,0,2,3,A
278,96,1,58,0,2,3,A
278,97,1,43,1,1,2,A
253,98,1,57,2,2,1,A
278,94,2,59,0,1,2,A
291,95,1,28,2,2,2,A
285,93,1,34,0,1,1,A
275,94,2,69,1,2,3,A
286,91,2,55,0,2,1,A
264,89,2,78,1,1,3,A
254,86,1,26,1,2,3,A
299,91,1,57,0,3,1,A
251,94,2,22,0,3,1,A
276,93,1,27,1,3,3,A
252,93,2,13,2,2,1,A
305,96,2,30,2,1,3,A
263,96,1,16,1,2,2,A
310,100,2,79,2,3,1,A
288,85,1,37,2,1,2,A
287,97,2,48,1,3,1,A
284,99,1,59,1,3,2,A
290,97,2,54,1,1,1,A
275,90,2,63,0,1,3,A
305,86,2,90,2,3,3,A
279,91,1,30,2,3,2,A
267,86,2,3,1,3,2,A
284,90,1,13,0,2,1,A
295,91,1,24,2,2,1,A
252,89,1,69,0,1,1,A
288,95,1,43,1,1,2,A
283,97,1,1,2,3,2,A
272,92,1,63,1,3,3,A
255,86,2,99,0,1,2,A
300,94,2,50,1,2,1,A
266,99,2,81,0,3,2,A
301,93,1,69,2,1,3,A
310,100,2,46,1,3,1,A
297,97,1,95,2,3,1,A
250,94,1,75,2,2,2,A
284,99,1,57,2,1,1,A
308,92,2,79,1,2,2,A
266,99,1,80,0,2,3,A
296,90,2,20,2,1,3,A
282,91,2,74,2,1,3,A
271,94,2,1,1,1,3,A
294,93,2,6,0,1,2,A
293,99,1,60,0,2,2,A
302,89,2,88,1,3,2,A
310,90,1,66,1,1,2,A
296,91,2,95,0,3,1,A
263,90,1,4,2,2,3,A
294,95,1,17,1,3,3,A
302,100,2,71,2,1,3,A
276,95,2,91,0,2,2,A
260,93,1,7,0,2,2,A
287,97,2,77,2,2,2,A
251,98,1,94,0,2,1,A
308,88,1,55,0,1,3,A
286,85,2,57,1,3,2,A
258,97,1,36,1,3,1,A
256,95,1,27,2,2,2,A
301,86,2,88,2,3,2,A
272,86,1,59,1,1,2,A
295,91,1,41,2,1,3,A
256,97,2,6,1,2,3,A
259,96,1,86,0,3,1,A
272,98,1,6,0,1,2,A
308,91,2,59,1,2,1,A
269,91,2,46,0,1,2,A
294,85,1,43,1,1,3,A
310,96,1,84,0,2,1,A
277,100,1,75,1,2,1,A
299,97,1,64,1,2,2,A
268,94,1,70,2,3,3,A
302,94,1,91,1,2,2,A
301,96,2,94,1,3,2,A
307,88,2,32,2,1,2,A
284,99,1,18,2,2,2,A
251,98,2,20,0,2,2,A
268,95,2,36,0,3,1,A
259,87,2,99,0,3,2,A
292,85,2,2,1,1,1,A
295,99,2,40,2,2,3,A
252,94,1,55,2,2,1,A
292,92,2,69,0,1,2,A
310,89,1,66,1,3,2,A
298,90,1,20,1,1,1,A
268,95,2,49,1,2,1,A
280,89,2,43,2,2,3,A
258,87,1,51,2,2,3,A
286,87,2,60,1,1,3,A
264,97,1,24,2,3,1,A
297,90,2,80,0,1,2,A
280,86,2,83,1,3,1,A
286,85,1,72,0,2,3,A
271,100,1,39,2,1,3,A
272,92,2,37,2,3,1,A
308,89,1,53,2,2,3,A
288,98,1,2,2,2,3,A
305,98,1,35,2,2,2,A
267,87,2,77,2,2,3,A
279,92,1,3,0,1,1,A
273,98,2,79,0,1,2,A
267,99,1,13,2,2,3,A
285,99,1,96,1,2,2,A
308,91,2,94,1,1,2,A
307,95,1,56,0,2,2,A
270,99,2,36,2,3,3,A
268,97,2,13,0,3,1,A
274,97,1,68,1,1,2,A
270,100,1,24,1,1,1,A
268,90,2,98,1,3,3,A
290,85,1,91,1,3,3,A
300,90,2,73,2,2,3,A
277,93,2,77,0,3,1,A
281,94,2,92,0,3,3,A
262,90,2,90,2,1,3,A
274,97,1,15,2,3,3,A
272,85,2,15,2,2,3,A
253,98,1,77,1,3,2,A
304,89,2,55,2,1,3,A
263,90,2,60,1,2,2,A
308,93,1,92,1,3,2,A
281,97,1,2,2,1,3,A
257,91,1,6,2,3,2,A
303,90,2,76,2,2,3,A
310,86,1,31,1,2,2,A
275,91,2,45,2,3,1,A
275,90,2,99,1,2,1,A
281,90,2,98,1,1,2,A
307,89,2,22,2,2,3,A
305,91,2,55,0,1,1,A
261,99,1,12,1,2,2,A
256,91,2,31,0,2,2,A
279,100,2,98,2,1,1,A
271,94,2,93,0,2,1,A
301,98,1,73,0,1,2,A
289,91,2,55,1,3,3,A
274,98,2,99,1,2,2,A
251,87,1,92,2,1,2,A
274,97,2,99,1,1,1,A
291,88,2,57,2,2,2,A
302,93,2,43,1,1,2,A
251,91,1,88,2,2,3,A
301,94,1,47,0,2,2,A
307,95,2,55,0,3,1,A
262,98,2,47,2,2,1,A
282,97,2,49,0,1,1,A
256,93,2,100,2,2,2,A
302,91,1,54,1,2,1,A
250,89,1,79,2,1,3,A
302,88,1,47,1,1,3,A
278,95,2,81,0,3,1,A
254,100,2,71,2,2,3,A
304,95,1,100,0,1,2,A
253,96,1,8,0,2,2,A
306,85,2,48,2,3,3,A
255,95,1,76,2,1,1,A
288,92,1,30,1,1,3,A
266,99,2,40,0,3,3,A
261,90,1,76,0,2,1,A
298,85,1,5,0,3,1,A
305,92,2,34,1,2,2,A
276,92,2,8,2,3,1,A
265,85,2,10,2,3,2,A
305,89,2,69,2,1,1,A
283,90,1,48,2,3,2,A
260,93,1,76,1,2,1,A
268,85,1,1,0,1,3,A
261,85,2,58,2,3,2,A
268,85,1,70,0,3,3,A
279,92,1,33,2,1,1,A
270,85,2,6,0,1,2,A
257,93,2,77,1,1,3,A
283,96,2,70,0,2,2,A
293,98,1,68,1,1,1,A
289,97,2,1,1,1,3,A
280,88,2,11,0,1,1,A
272,98,2,65,2,1,3,A
306,95,2,75,1,1,3,A
261,92,2,20,0,1,2,A
281,95,2,60,0,1,1,A
274,93,2,20,1,2,3,A
257,87,2,18,2,3,2,A
308,90,2,47,0,2,1,A
310,95,2,15,0,2,3,A
296,96,1,34,0,1,2,A
293,86,1,59,0,3,2,A
266,92,1,73,1,1,3,A
250,95,1,72,2,3,3,A
280,89,1,68,2,1,3,A
282,95,1,17,1,1,1,A
258,96,1,70,2,3,3,A
281,87,1,38,2,3,2,A
297,94,2,91,2,3,1,A
285,90,1,48,2,3,2,A
271,88,1,18,1,2,1,A
272,96,2,26,0,3,3,A
301,92,1,79,2,2,3,A
272,87,1,67,1,2,2,A
309,86,1,75,1,3,2,A
307,94,1,21,0,2,3,A
259,97,1,61,0,1,2,A
306,93,2,3,2,1,3,A
263,97,1,78,0,3,1,A
262,98,1,85,0,3,2,A
251,86,1,56,0,1,2,A
308,92,2,90,2,2,3,A
288,94,1,6,1,3,1,A
267,95,1,94,1,2,3,A
269,100,1,75,1,2,2,A
256,91,1,70,0,2,1,A
302,93,2,57,0,3,2,A
307,100,1,28,2,2,3,A
263,100,2,64,2,3,1,A
290,95,1,32,2,3,3,A
265,90,1,83,0,3,3,A
269,98,2,19,1,2,1,A
255,87,1,16,0,2,1,A
272,93,1,71,2,2,2,A
270,91,2,20,2,3,1,A
261,95,2,82,0,1,1,A
259,91,2,89,0,2,2,A
308,95,2,87,1,1,3,A
297,86,2,22,1,1,2,A
250,89,2,90,2,3,3,A
270,92,1,68,1,2,1,A
280,95,2,74,1,3,3,A
255,98,2,19,0,2,1,A
271,97,1,68,0,3,1,A
292,90,2,85,1,2,1,A
256,96,1,100,2,3,2,A
264,93,1,51,0,1,3,A
266,86,1,62,1,2,1,A
298,90,2,1,0,1,2,A
294,97,1,31,2,2,2,A
276,97,2,42,0,3,2,A
267,100,2,92,0,1,3,A
282,93,2,65,1,1,2,A
250,86,2,6,1,3,1,A
274,95,2,96,0,2,1,A
254,99,1,75,0,2,2,A
289,86,2,67,0,1,1,A
269,86,2,100,0,3,2,A
254,86,2,70,2,3,3,A
303,96,2,4,0,3,2,A
268,94,2,89,2,2,3,A
306,99,2,92,0,1,3,A
294,94,1,45,0,2,3,A
301,99,1,79,2,3,2,A
305,86,2,39,2,3,1,A
261,100,2,89,0,1,1,A
254,100,2,75,0,2,3,A
292,86,1,29,1,1,3,A
293,85,2,26,2,3,3,A
271,86,2,53,0,2,2,A
297,92,2,54,0,2,2,A
299,92,1,79,1,1,1,A
259,88,2,77,0,1,2,A
257,91,2,18,2,3,3,A
264,86,1,55,2,2,1,A
308,95,1,73,2,1,1,A
299,96,2,78,1,3,1,A
294,87,1,18,1,2,1,A
300,99,2,37,1,1,1,A
267,89,2,1,1,1,3,A
263,100,2,92,1,1,2,A
279,92,2,82,2,1,2,A
270,87,2,30,2,3,3,A
294,99,1,59,1,3,1,A
272,99,2,56,0,1,1,A
299,97,2,48,2,1,1,A
251,98,2,45,1,3,3,A
268,89,2,74,2,1,3,A
278,93,1,88,2,3,1,A
303,93,1,20,2,1,1,A
286,99,1,0,1,2,2,A
266,98,1,29,1,3,2,A
308,100,2,41,1,3,2,A
297,93,1,42,1,2,3,A
273,92,2,26,0,2,2,A
271,95,1,16,1,1,2,A
268,89,1,64,1,1,3,A
278,90,1,16,0,1,1,A
283,98,2,3,0,1,1,A
251,88,1,75,2,3,2,A
289,97,2,40,1,1,3,A
271,95,1,15,2,3,2,A
264,87,2,10,0,2,3,A
289,91,1,24,2,3,2,A
252,98,1,82,2,3,1,A
304,95,2,99,2,1,1,A
292,95,2,29,2,2,3,A
269,92,2,9,2,2,3,A
268,87,1,99,0,1,1,A
263,87,2,74,2,2,2,A
275,91,2,36,1,3,3,A
305,90,1,82,0,1,1,A
304,100,1,64,1,2,2,A
276,91,1,26,0,2,2,A
276,95,2,62,1,3,1,A
256,90,2,69,1,1,1,A
295,90,2,40,2,3,3,A
269,85,2,42,2,1,2,A
298,88,2,95,1,2,1,A
292,89,2,27,2,2,3,A
275,97,2,50,0,3,3,A
273,92,2,95,0,2,1,A
279,100,2,5,1,1,1,A
270,91,2,97,2,1,3,A/B
250,98,2,34,0,1,1,A/B
298,86,2,27,2,1,3,A/B
272,89,1,35,1,1,2,A/B
298,87,1,91,2,2,3,A/B
264,94,1,45,1,1,1,A/B
267,89,2,88,1,3,1,A/B
255,97,2,57,2,2,3,A/B
296,86,2,6,0,1,2,A/B
256,93,1,38,1,3,1,A/B
308,96,1,18,2,3,3,A/B
282,98,1,70,1,2,1,A/B
275,97,1,38,0,1,2,A/B
263,100,1,73,2,2,2,A/B
254,100,2,61,0,2,2,A/B
265,89,2,15,1,3,1,A/B
308,93,2,63,0,1,1,A/B
300,88,1,37,0,2,2,A/B
259,97,2,59,0,1,2,A/B
257,97,2,92,0,3,2,A/B
277,100,1,86,1,3,3,A/B
273,95,1,86,2,2,3,A/B
260,97,1,100,1,3,2,A/B
252,94,1,81,0,3,3,A/B
268,98,1,27,1,2,1,A/B
310,98,1,8,0,1,2,A/B
283,91,2,34,2,1,1,A/B
254,96,2,55,2,2,3,A/B
289,89,2,69,0,2,3,A/B
261,100,1,2,2,2,2,A/B
308,94,2,57,2,3,1,A/B
272,100,2,54,0,2,2,A/B
256,85,2,14,0,1,2,A/B
305,91,1,63,1,2,3,A/B
279,98,2,72,1,3,3,A/B
279,87,2,16,2,1,3,A/B
258,89,2,32,1,3,1,A/B
293,88,2,48,0,3,3,A/B
256,100,2,84,1,2,3,A/B
305,88,2,4,2,2,2,A/B
299,85,2,16,0,1,3,A/B
272,88,1,29,2,2,2,A/B
305,86,1,78,2,1,2,A/B
253,91,2,28,0,2,2,A/B
264,86,1,21,0,2,3,A/B
277,85,2,61,2,3,3,A/B
296,98,1,31,0,2,2,A/B
279,97,1,35,2,1,1,A/B
267,97,1,34,2,3,1,A/B
293,86,2,10,0,1,3,A/B
292,93,2,5,1,1,3,A/B
276,88,1,13,1,1,1,A/B
258,98,2,96,0,2,2,A/B
288,92,2,18,1,3,3,A/B
301,95,1,46,0,2,2,A/B
274,97,1,29,2,3,1,A/B
258,88,2,80,1,1,2,A/B
269,92,2,47,2,2,1,A/B
276,90,2,92,1,1,1,A/B
283,94,1,41,2,1,2,A/B
293,99,1,22,2,1,2,A/B
293,100,2,87,1,2,2,A/B
308,91,1,95,1,2,2,A/B
258,92,2,74,0,2,1,A/B
275,96,2,64,2,3,1,A/B
263,85,2,66,2,3,1,A/B
299,85,2,3,1,3,3,A/B
286,94,2,54,0,3,2,A/B
262,91,2,39,2,3,1,A/B
264,96,1,18,2,1,2,A/B
272,96,1,39,0,1,2,A/B
275,85,2,87,2,2,1,A/B
260,90,1,77,2,1,2,A/B
250,92,1,85,2,2,3,A/B
288,96,1,31,0,1,2,A/B
286,93,1,74,2,2,1,A/B
287,93,2,12,1,1,1,A/B
290,85,2,35,1,3,1,A/B
256,93,2,89,1,2,1,A/B
281,92,1,44,1,3,1,A/B
256,97,1,31,2,3,3,A/B
277,94,1,65,0,1,3,A/B
262,98,1,0,1,2,2,A/B
270,92,2,14,2,1,2,A/B
286,87,2,21,2,3,2,A/B
266,92,1,4,0,2,3,A/B
288,99,1,26,0,1,3,A/B
301,87,2,99,2,2,3,A/B
269,100,2,8,0,3,1,A/B
301,89,1,20,0,3,1,A/B
270,100,1,54,1,3,3,A/B
293,99,1,55,2,3,2,A/B
305,97,1,81,2,1,2,A/B
282,92,1,10,1,1,2,A/B
303,89,2,24,1,3,3,A/B
258,98,2,64,2,1,2,A/B
290,95,1,33,0,3,2,A/B
261,100,1,94,2,2,3,A/B
256,85,1,5,1,2,3,A/B
291,95,1,20,1,2,2,A/B
256,100,1,31,2,1,3,A/B
260,86,2,75,0,2,2,A/B
283,86,1,91,1,2,2,A/B
252,87,1,44,0,1,1,A/B
284,94,2,52,1,3,1,A/B
270,100,1,86,2,1,2,A/B
305,93,1,68,1,2,1,A/B
273,98,1,22,0,1,1,A/B
258,87,1,25,0,3,3,A/B
285,100,1,89,0,2,1,A/B
255,91,1,32,1,3,1,A/B
284,95,2,62,0,3,1,A/B
260,96,2,51,2,3,2,A/B
298,100,2,37,2,2,2,A/B
267,94,1,59,2,3,1,A/B
293,97,2,42,0,2,1,A/B
285,89,1,2,0,1,3,A/B
251,94,2,17,1,2,2,A/B
252,86,2,93,0,2,2,A/B
295,95,2,3,2,2,1,A/B
284,94,1,29,1,1,2,A/B
297,96,2,69,2,3,3,A/B
302,95,1,7,1,1,3,A/B
267,92,1,34,2,1,1,A/B
270,94,1,40,1,3,2,A/B
255,89,2,97,1,3,1,A/B
280,91,1,54,0,2,3,A/B
259,86,2,64,2,3,1,A/B
268,97,1,54,1,1,3,A/B
293,96,1,9,1,3,1,A/B
276,85,1,73,1,2,3,A/B
257,99,1,19,2,1,2,A/B
307,97,2,71,2,1,2,A/B
301,99,2,59,2,1,3,A/B
290,97,1,53,0,1,3,A/B
271,98,1,23,2,1,3,A/B
294,98,2,23,1,1,1,A/B
273,85,1,89,0,2,1,A/B
267,95,1,9,1,1,3,A/B
252,87,2,96,0,1,2,A/B
298,90,2,79,2,3,3,A/B
255,86,1,82,0,3,2,A/B
251,97,1,11,2,2,2,A/B
261,97,1,91,1,1,1,A/B
310,90,2,76,2,2,3,A/B
300,90,1,44,1,1,3,A/B
298,100,2,77,2,2,3,A/B
300,94,2,81,0,1,1,A/B
293,95,2,11,0,1,2,A/B
310,94,2,3,0,2,3,A/B
253,88,1,21,0,2,1,A/B
251,86,1,16,0,1,3,A/B
255,95,2,54,0,2,3,A/B
263,96,1,41,2,3,2,A/B
268,90,2,42,2,1,3,A/B
296,99,1,35,0,3,1,A/B
269,90,1,51,2,2,1,A/B
253,97,1,53,0,1,1,A/B
250,92,1,83,0,3,1,A/B
260,95,2,47,0,2,3,A/B
281,100,2,62,0,2,1,A/B
301,99,1,48,1,2,1,A/B
256,92,2,71,2,1,2,A/B
260,98,2,34,0,3,2,A/B
285,92,1,32,1,2,3,A/B
304,94,2,90,1,1,2,A/B
262,93,1,54,1,2,3,A/B
301,90,1,67,1,1,3,A/B
262,93,1,31,2,1,2,A/B
310,86,1,84,0,1,2,A/B
255,100,1,66,0,2,1,A/B
262,96,1,35,1,3,2,A/B
308,97,2,15,1,3,3,A/B
278,95,2,77,0,1,1,A/B
306,88,2,39,2,2,3,A/B
279,89,2,95,2,1,3,A/B
259,86,1,5,0,2,3,A/B
254,95,1,11,0,3,2,A/B
275,100,1,70,2,1,3,A/B
276,94,2,42,1,2,1,A/B
310,93,2,20,1,3,2,A/B
285,85,1,31,2,3,2,A/B
308,98,2,31,2,1,1,A/B
299,85,2,2,0,1,3,A/B
294,88,2,46,1,1,1,A/B
260,92,2,42,0,1,3,A/B
255,99,1,9,1,1,3,A/B
260,93,2,16,0,2,3,A/B
250,89,1,91,2,1,3,A/B
257,86,1,2,0,3,1,A/B
272,90,2,62,0,3,1,A/B
295,100,2,27,1,2,1,A/B
285,86,2,26,1,2,3,A/B
287,88,2,75,0,3,2,A/B
262,86,2,33,1,3,3,A/B
306,93,2,0,2,3,1,A/B
268,91,1,72,1,2,2,A/B
268,92,2,64,2,2,2,A/B
253,85,2,25,1,1,1,A/B
308,87,1,59,0,2,2,A/B
286,86,1,77,1,2,1,A/B
277,93,2,1,1,2,1,A/B
282,96,1,18,2,2,2,A/B
309,95,2,47,2,3,1,A/B
301,98,2,5,2,3,2,A/B
277,88,1,11,2,1,1,A/B
299,89,1,24,0,1,1,A/B
252,87,2,13,0,3,2,A/B
254,85,2,68,1,2,2,A/B
253,94,1,65,2,3,3,A/B
285,86,1,5,1,3,1,A/B
300,93,2,46,0,1,2,A/B
299,100,1,42,0,3,3,A/B
262,97,1,27,2,2,1,A/B
284,93,2,95,2,2,1,A/B
258,86,1,77,2,1,1,A/B
300,96,2,0,2,1,3,A/B
267,99,2,21,2,1,1,A/B
310,87,2,59,0,1,2,A/B
287,95,1,54,0,3,1,A/B
304,99,2,41,0,1,1,A/B
256,86,1,77,2,1,2,A/B
295,89,2,59,0,1,1,A/B
265,99,1,26,2,2,3,A/B
286,89,2,87,1,3,2,A/B
257,98,2,24,1,2,1,A/B
271,100,2,81,1,3,3,A/B
261,87,2,86,1,2,2,A/B
271,97,2,79,1,3,1,A/B
267,91,2,61,0,3,3,A/B
269,94,1,4,2,1,1,A/B
308,86,2,13,2,1,1,A/B
276,95,2,44,1,2,1,A/B
301,95,2,28,0,1,2,A/B
286,88,1,74,2,2,2,A/B
254,93,2,5,0,3,3,A/B
276,90,1,45,1,3,1,A/B
275,100,2,15,0,1,3,A/B
293,92,2,32,2,1,1,A/B
289,97,1,63,0,3,2,A/B
265,96,1,66,1,1,3,A/B
258,100,1,46,2,3,3,A/B
251,97,1,11,0,2,1,A/B
279,90,1,12,0,3,2,A/B
271,89,2,99,2,2,2,A/B
298,89,1,21,0,2,3,A/B
291,100,2,91,0,1,2,A/B
264,100,2,45,2,3,1,A/B
266,96,1,80,1,3,2,A/B
278,93,1,62,2,2,3,A/B
253,85,2,86,2,3,2,A/B
253,92,2,52,1,2,1,A/B
277,88,2,40,2,1,1,A/B
251,90,2,86,2,3,1,A/B
286,99,1,31,0,2,3,A/B
307,92,2,86,0,1,3,A/B
267,99,1,60,0,1,1,A/B
258,99,1,11,1,2,2,A/B
280,95,1,61,0,1,2,A/B
294,92,1,77,0,1,3,A/B
269,99,2,10,2,1,2,A/B
257,93,2,58,0,1,2,A/B
283,95,1,93,1,3,2,A/B
274,100,1,55,2,3,1,A/B
289,91,1,49,0,1,2,A/B
256,99,1,48,0,3,3,A/B
251,90,1,80,0,3,2,A/B
282,94,1,34,1,1,2,A/B
284,99,2,3,1,3,3,A/B
254,95,2,53,1,1,2,A/B
303,93,2,83,2,2,2,A/B
288,98,2,73,0,2,1,A/B
281,92,1,52,0,3,2,A/B
256,91,1,78,0,2,2,A/B
283,85,1,74,2,1,2,A/B
297,90,1,54,1,1,1,A/B
279,94,1,30,0,3,1,A/B
251,86,2,75,0,2,2,A/B
296,97,1,49,0,3,1,A/B
250,96,2,37,0,2,3,A/B
308,93,2,7,2,1,2,A/B
289,86,1,71,2,3,3,A/B
275,89,1,70,0,3,3,A/B
257,91,2,66,0,2,1,A/B
298,94,2,60,1,3,1,A/B
295,95,2,76,1,1,2,A/B
261,91,1,49,2,1,3,A/B
302,94,1,51,0,3,1,A/B
259,90,2,41,0,2,1,A/B
269,100,1,80,2,1,1,A/B
274,88,2,70,1,3,3,A/B
306,88,1,67,2,1,3,A/B
269,86,1,18,2,1,1,A/B
298,95,1,73,1,3,1,A/B
286,98,1,90,1,3,2,A/B
253,97,2,45,0,3,3,A/B
305,95,1,47,0,1,1,A/B
253,87,2,59,0,2,1,A/B
278,85,1,80,1,1,2,A/B
251,91,1,5,1,1,3,A/B
280,100,1,55,1,1,3,A/B
281,95,1,100,1,1,2,A/B
274,99,1,9,1,3,1,A/B
252,96,2,44,2,3,2,A/B
303,98,1,15,0,1,1,A/B
251,100,1,92,1,1,3,A/B
285,87,1,81,2,2,3,A/B
267,97,1,30,0,3,3,A/B
294,95,1,7,2,3,3,A/B
299,86,1,84,0,1,1,A/B
263,85,1,72,0,2,3,A/B
284,85,1,32,2,3,1,A/B
300,97,2,89,2,2,1,A/B
310,90,1,32,2,3,1,A/B
259,89,1,75,1,2,3,A/B
296,93,2,11,1,3,2,A/B
278,89,2,1,2,1,1,A/B
264,91,1,95,0,3,1,A/B
257,93,1,100,0,1,3,A/B
254,95,1,66,1,1,1,A/B
255,92,1,79,1,1,3,A/B
268,94,2,18,2,3,2,A/B
250,100,1,90,1,2,3,A/B
275,90,2,29,1,3,3,A/B
294,98,2,24,2,1,3,A/B
260,95,1,7,2,1,3,A/B
289,98,1,58,1,2,3,A/B
300,89,1,65,1,2,1,A/B
250,89,2,82,2,2,2,A/B
272,98,2,6,2,1,1,A/B
282,91,2,67,1,1,2,A/B
292,91,2,73,1,1,1,A/B
284,85,2,48,0,2,3,A/B
291,88,1,100,1,3,1,A/B
306,100,1,64,1,2,2,A/B
261,100,2,7,2,3,2,A/B
308,100,1,68,1,2,3,A/B
257,100,2,91,0,2,2,A/B
255,90,1,88,2,2,1,A/B
292,94,1,21,0,1,3,A/B
309,93,1,10,2,3,2,A/B
292,92,2,89,0,2,2,A/B
276,89,1,81,1,3,3,A/B
285,95,2,47,1,3,2,A/B
301,90,2,40,2,3,1,A/B
262,93,2,62,1,3,2,A/B
256,98,1,82,1,1,2,A/B
281,94,1,46,1,3,1,A/B
295,85,2,3,0,2,2,A/B
